No.,Company Name,Logo/Brand,Sponsor Type,Hall,pavilion no.,Originator Country,Representatives,Basic introduction,News/Recent Outstanding Achievement/Applications and Project References,Type of Industry,Hydrogen-focused business,Website,Form of Contacts,Highlighted Info,Unknown,Source_Sheet,Img_Logo,Img_Rep,Img_NewsProj,Img_Contact,Img_Highlight
1,"
8 Rivers
",-,Silver Sponsor,C,82,United States,-,"Unlocking Ultra-Low Carbon Hydrogen

By harnessing pure oxygen and pressurized CO2, 8RH2 revolutionizes the conversion of natural gas into high-purity hydrogen or ammonia, eliminating carbon emissions while dramatically lowering production costs.","1. Cormorant (Texas, USA)
https://cormorant.energy/
2. Whitetail (Tesside, UK)
https://whitetail.energy/
3. Coyote (Southern Ute Indian Reservation, Colorado USA)
https://coyote.energy/",Decarbonising technology & Carbon capture projects,Renewable Energy Companies,https://8rivers.com/contact-us/,Website,-,-,A,8 Rivers_Logo_Image_1.png,8 Rivers_Rep_Image_2.png,,,8 Rivers_Highlight_Image_3.png
2,Å Energi,-,Exhibitor,D,122,Norway,-,"We supply electricity, heat and other energy-related products and services to domestic and business customers.

We are enabling more efficient and sustainable energy use – now and into the future – in homes, at businesses and in the public sector.

Our products and services are based on renewable energy sources. We are also developing the technological solutions of the future.","1. 11,3 TWh Yearly Production from Hydro power 700,000 homes with electricity from hydropower
2. Solar power Capacity
Develop, build and own more than 500 MWp capacity by 2027
3. Offshore Wind : More renewable energy
50 GW by 2050
4. Battery : Å Energi is one of the main owners of Morrow Batteries, which has plans to establish a large-scale battery factory outside Arendal.
5. Hydrogen : Hydrogen for industrial and rural development and as a way of achieving circular industrial development","supply electricity, heat and other energy-related products and services to domestic and business customers
1. Hydroelectric Power
2. Solar Power
3. Offshore Wind
4. Battery
5. Hydrogen",Renewable Energy Companies,https://www.aenergi.no/en,Website,-,-,A,Å Energi_Logo_Image_4.png,,,,
3,ABEEOlica,-,Exhibitor,D,100,Brazil,-,"Since its foundation, ABEEólica has effectively contributed to the development and recognition of wind energy as a clean, renewable, low environmental impact, competitive and strategic source for the composition of the national energy matrix.",-,Academic / Research CompanyBattery / Storage,Academic or Research Institution,https://abeeolica.org.br/en/home-english/,"+55 (11) 3674-1100
Av. Paulista - 1337, 5th floor, Sl51 CEP: 01311-200 Bela Vista São Paulo - SP

faleconosco@abeeolica.org.br
marta@abeeolica.org.br
camila.salles@abeeolica.org.br",-,-,A,ABEEOlica_Logo_Image_5.png,,,,
4,ABH2 (Associacao Brasileira Do Hidrogenio),-,Exhibitor,D,100,Brazil,-,"Creation of a network of industries in the chemical, electricity, oil and gas, biomass and mining sectors, among others;

Contribution to hydrogen-related codes, standards, regulations and safety procedures;

Support and advice to scientific and technological research and professional training;

Organisation of events such as congresses, webinars, lectures, courses and symposiums of a scientific or industrial nature

Acting together with governmental entities to promote activities related to hydrogen in Brazil and in the world

Production and dissemination of information and new knowledge related to hydrogen in Brazil and worldwide",-,"Renewable energy, Technology, Hydrogen, Power generation, Scientific research, Technological development, Clean energy, Energy cogeneration, Fuel cells, and Electrolysis",Renewable Energy Companies,"https://abh2.org/english
",https://www.linkedin.com/company/abh2/about/,-,-,A,ABH2 Associacao Brasileira Do Hidrogenio_Logo_Image_6.png,,,,
5,Accelera by Cummins (Hydrogenics Europe N.V),-,Bronze Sponsors,C,94,-,-,We're a clean energy technology brand by Cummins accelerating the shift to zero emissions.,"1. Accelera™ by Cummins, the zero-emissions business segment of Cummins Inc. [NYSE: CMI], today announced plans to launch a battery electric powertrain for Isuzu’s F-series in North America. Availability of the medium-duty truck is expected in 2026 and will include Accelera’s next generation lithium iron phosphate (LFP) battery technology.
2. Accelera electrolyzers to power Chevron solar-to-hydrogen project
3. Accelera™ by Cummins, Daimler Truck and PACCAR select Mississippi for battery cell production in the United States.","Battery Systems
High Voltage Packs
Fuel Cells - PEM
ePowertrain Systems
eAxle
Remote Mount
Accessory Systems
Electrolyzers - PEM
Alkaline",Hydrogen Production Equipment Manaufacturers and its apparatus,"https://www.accelerazero.com/
","1. https://www.linkedin.com/company/accelerazero/
2. https://www.facebook.com/accelerazero
3. https://www.instagram.com/accelerazero/
4. https://x.com/AcceleraZero
",-,-,A,Accelera by Cummins Hydrogenics Europe NV_Logo_Image_7.png,Accelera by Cummins Hydrogenics Europe NV_Rep_Image_8.png,,,Accelera by Cummins Hydrogenics Europe NV_Highlight_Image_9.png
6,ACE Terminal c/o Gasunie,-,Exhibitor,C,58,Netherlands,-,"Powering the future with hydrogen
To facilitate the growing demand for hydrogen, the strategic partners Gasunie and Vopak have joined forces and knowledge to develop a hydrogen import terminal in the Port of Rotterdam. The 'open access' terminal will enable the reception and storage of ammonia as a hydrogen carrier for customers in north-western Europe. In addition, the terminal will provide for the conversion of the ammonia into hydrogen, the transshipment of the ammonia, and the onward transit of both hydrogen and ammonia to end users.

ACE Terminal will be built in the Port of Rotterdam. The strategic location offers direct access from the North Sea and a connection to Rotterdam's industry and Gasunie's pipeline network to Northwest Europe.","1. ACE Terminal, Iberdrola and Gasunie join forces for hydrogen corridor between Spain and the Netherlands
2. Study: Ammonia cracker realistic and safe method for large-scale hydrogen imports
3. ACE Terminal and Cepsa sign agreement for green hydrogen and ammonia imports",Ammonia cracker/ Port Terminal,Offtaker or Terminal Ports or Maritime Logistic  or Refuelling Station,https://www.aceterminal.nl/en,"info@aceterminal.nl
+31 6 11005322
m.coppens@gasunie.nl
Groningen, The Netherlands",-,-,A,ACE Terminal co Gasunie_Logo_Image_10.png,ACE Terminal co Gasunie_Rep_Image_11.png,,,ACE Terminal co Gasunie_Highlight_Image_12.png;ACE Terminal co Gasunie_Highlight_Image_13.png
7,Actualidad Marítima y Portuaria,-,Exhibitor,D,100,Portugal,-,-,-,Portugal Technical Forums: Maritime/Ports/Logistic,Offtaker or Terminal Ports or Maritime Logistic  or Refuelling Station,"https://actualidadmp.com/#google_vignette
",-,-,-,A,Actualidad Marítima y Portuaria_Logo_Image_14.png,,,,
8,Advario,-,Silver Sponsor,E,56,Netherlands,-,"Advario is a leading partner in liquid storage logistics with a global network handling a broad range of products from chemicals, gases and fuels to new energy products. We bring decades of experience, a future-focused, holistic approach and a truly ambitious ESG agenda. Continuing a tradition of close partnership, safe and reliable operations, and consistent delivery, we build and work together towards future-focused solutions for our customers and partners.
","1. Advario launches Horizon 2030: the next step in the delivery of our ambitious strategy
2. Advario secures Sustainable Aviation Fuel Storage for Neste in Singapore","1. Preferred partners in liquid storage logistics
2. 13 Global Terminals",Offtaker or Terminal Ports or Maritime Logistic  or Refuelling Station ,"https://advario.com/
","1. https://www.linkedin.com/company/advario/
2. communication@advario.com",-,-,A,Advario_Logo_Image_15.png,Advario_Rep_Image_16.png,,,
9,AEP Hybrid Power,-,Exhibitor,A,116,Netherlands,-,"AEP Hybrid Power is innovative in energy storage and power electronics. We supply unique Ultracapacitor cells, energy storage modules, chargers, converters and systems. We are also heavily involved in the design, development and system integration of custom-made solutions.","1. Europe Container Terminals (ECT)
2. Highest floating crane ‘Nijlpaard’
3. a Dynamic Energy Storage System for company 'Ampelmann'
","Energy Storage Solution & Power Electronic such as 1. Ultra Capacitor Modules
2. Ultra Capacitor System
3. Converter system
4. Power Energy Storage System
5. Charging System
6. Engine Start Module
7. Hybrid Power Accessories",Hydrogen Production Equipment Manaufacturers and its apparatus,"1. https://www.linkedin.com/company/aep-hybrid-power/

2. sales@aephybridpower.com or call us directly at +31 78 692 0995.

3. https://www.aepint.nl/hybrid-power/",-,-,-,A,AEP Hybrid Power_Logo_Image_17.png,AEP Hybrid Power_Rep_Image_18.png,,AEP Hybrid Power_Contact_Image_19.png,
10,Aerodelft,-,Exhibitor,E,18,Netherlands,-,"AeroDelft is a TU Delft student team with one mission: prove that emission-free aviation is possible by pioneering liquid hydrogen-powered electric aircraft.
Mission:
To prove and promote liquid hydrogen as an alternative to conventional aviation fuel, to inspire the aviation industry to make the change on a scale that will result in worldwide sustainable aviation.

Visionn: Sustainable aviation is the only way. We see liquid hydrogen as the key towards a future with sustainable aviation.","PROJECT
PHOENIX 
The full-Scale Phoenix is a 2-seater Sling 4 aircraft, with a maximum take-off weight of 920 kg and a wingspan of 10m. In July 2021, we received our Sling 4 kit which enabled us to start working on integrating all the systems to be able to fly our first Full-Scale flight.
Full-Scale Phoenix will be a manned liquid hydrogen powered plane, set to fly on liquid hydrogen in 2026.

It’s a 2-seater Sling 4 aircraft powered by hydrogen fuel cells. No combustion required.",Research Student/Aviation Industry,Academic or Research Institution,https://aerodelft.nl/,"1. https://www.linkedin.com/company/aerodelft/
2. https://www.instagram.com/aerodelft/
3. https://www.youtube.com/c/aerodelftstudentteam",-,-,A,Aerodelft_Logo_Image_20.png,,,,Aerodelft_Highlight_Image_21.png
